APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address
063151080,749.3749304,464.5151391,Single Family Residential,1963,5172.76,2015,217561,130535,348096,10.12113955,5.113626422,51.75572665,-1,4999.99450575849,none,-122.15038767,37.46749767,"100 Garden St, East Palo Alto, CA 94303, USA"
063381290,1158.493215,484.731367,Single Family Residential,1953,7407.74,2015,280779,280779,561558,14.88630214,7.526278101,112.0384498,0.577,5217.5999612513,none,-122.12998904,37.46779213,"2274 Pulgas Ave, East Palo Alto, CA 94303, USA"
063301110,865.1498932,517.803913,Single Family Residential,1943,6254.56,2015,223989,223989,447978,13.93524042,7.153787104,99.68974322,0.519,5573.589539140699,attached,-122.14338822,37.46736948,"2255 Euclid Ave, East Palo Alto, CA 94303, USA"
063332470,328.4873965,553.45198,Single Family Residential,1949,3294.68,2015,90901,90901,181802,20.40818383,6.365587622,129.9100824,0.385,5957.301767522,attached,-122.13966465,37.46722061,"2255 Cooley Ave, East Palo Alto, CA 94303, USA"
063302370,435.7434147,551.3749419,Single Family Residential,1964,4579.78,2015,120129,120129,240258,9.414924138,7.976673666,75.09977744,0.462,5934.944737117409,attached,-122.14245049,37.46713554,"2246 Euclid Ave, East Palo Alto, CA 94303, USA"
063302220,267.2638478,847.5968667,Single Family Residential,1927,3816.54,2015,113266,113266,226532,14.63170299,10.76036538,157.4424703,0.769,9123.44791347213,detached,-122.14199827,37.46715226,"2253 University Ave, East Palo Alto, CA 94303, USA"
063361370,772.3737043,479.8221352,Single Family Residential,1951,5339.56,2015,185301,185301,370602,18.62470604,5.086133607,94.72774332,-1,5164.757481079279,none,-122.1390719,37.46700572,"2246 Cooley Ave, East Palo Alto, CA 94303, USA"
063186100,218.6903029,929.0398215,Single Family Residential,1923,3559.68,2015,101586,101586,203172,16.17677489,8.724679859,141.1371821,0.846,10000.09173464385,detached,-122.14470377,37.46670108,"420 Garden St, East Palo Alto, CA 94303, USA"
063153280,85.09311217,464.5146827,Single Family Residential,1939,1457.72,2015,8757,30770,39527,20.40818383,6.365587622,129.9100824,0.385,4999.989593114529,none,-122.14878654,37.46684217,"2174 Ralmar Ave, East Palo Alto, CA 94303, USA"
063362460,53.41757223,976.4202643,Single Family Residential,1958,1976.1,2015,11208,40950,52158,19.03204285,8.163445287,155.3670405,1,10510.090082898769,detached,-122.13856895,37.46663555,"730 Schembri Ln, East Palo Alto, CA 94303, USA"
063182030,776.978179,450.0010546,Single Family Residential,1946,5189.5,2015,106833,242808,349641,12.97228228,5.125950081,66.4952714,-1,4843.76635160894,none,-122.14628672,37.46644007,"2212 Dumbarton Ave, East Palo Alto, CA 94303, USA"
063342220,91.75580582,524.5880581,Single Family Residential,1956,1846.94,2015,9268,38866,48134,18.62470604,5.062647329,94.29031829,-1,5646.61339858259,attached,-122.13084926,37.4666556,"2252 Terra Villa St, East Palo Alto, CA 94303, USA"
063154080,657.9564585,505.9103771,Single Family Residential,1952,5582.8,2015,249653,83214,332867,18.62470604,5.062647329,94.29031829,-1,5445.568708066689,none,-122.14807198,37.46617107,"2140 Addison Ave, East Palo Alto, CA 94303, USA"
063154130,188.0102294,465.2619184,Single Family Residential,1954,2350,2015,34984,52490,87474,12.43252043,11.45830245,142.4555793,0.615,5008.03276346576,none,-122.14777018,37.46599593,"2143 Oakwood Dr, East Palo Alto, CA 94303, USA"
062222120,679.331043,603.8734785,Single Family Residential,1954,1800.58,2015,201238,208992,410230,14.15585427,10.70942691,151.6010866,0.769,6500.03373522615,attached,-122.1527688,37.46923693,"1019 Laurel Ave, East Palo Alto, CA 94303, USA"
063174060,844.2946632,512.6764611,Single Family Residential,1947,6090.72,2015,216425,216425,432850,13.48006791,10.70942691,144.3638019,0.692,5518.398159634289,attached,-122.14660167,37.46931587,"2358 Oakwood Dr, East Palo Alto, CA 94303, USA"
063253480,407.0735911,1826.868695,Single Family Residential,1953,9457.14,2015,371835,371835,743670,16.17720825,15.42882467,249.5953098,0.846,19664.2319461105,detached,-122.13878858,37.46891933,"1 Blue Jay Ct, East Palo Alto, CA 94303, USA"
